Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Huang C., Yang H., Li Y., Zou J., Zhang Y., Chen X., Mi Y., Zhang M.","35214742400;57198825584;55964480200;55367006900;56605870300;55277378900;56605873500;55704405700;","Investigating changes in land use cover and associated environmental parameters in Taihu Lake in recent decades using remote sensing and geochemistry",2015,"PLoS ONE","10","4","e0120319","","",,17,"10.1371/journal.pone.0120319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928473377&doi=10.1371%2fjournal.pone.0120319&partnerID=40&md5=00bbff65e92e57d7f7fea9167a8c42ec","Humans have had a significant impact on the terrestrial pedosphere through activities such as agriculture and urbanization. The effects of human activities on land use and the related environmental changes were investigated through point and areal studies surrounding Meiliang Bay, which is an open area of extreme eutrophication in Taihu Lake, China. This study used remote sensing and environmental-tracer profiles [total nitrogen (TN), total phosphorus (TP), total organic carbon (TOC), grain size, and geochemical parameters] to determine the causes of changes in land use and the associated environmental parameters. The results of LUCCs (Land use/cover changes) indicate that over the past three decades, total farmland decreased by 862.49 km2, with an annual decrement rate of 28.75 km2/year, and total urbanized land increased by 859.71 km2, with an annual growth rate of 28.66 km2/year. The geochemical results indicate that the trophic state of Taihu Lake was persistently intensifying and that the TN, TP, and TOC concentrations increased twofold, threefold, and twofold, respectively, from 1949 to 2010. The sources of TN, TP, and TOC were highly similar after 1975. However, before 1974, TN and TP originated from different sources than TOC. The grassland and woodland around the lake retain nutrients and sand from the land of study area. The increase in urbanized land and tertiary industries significantly increased the sediment concentrations of TN, TP, and TOC after 1980. © 2015 Huang et al.",,"nitrogen; organic carbon; phosphorus; carbon; nitrogen; phosphorus; soil; soil pollutant; agricultural land; Article; China; concentration (parameters); environmental change; environmental parameters; forest; geochemistry; grain; growth rate; lake; land use; nutrient; remote sensing; sand; satellite imagery; sediment; analysis; chemistry; environmental monitoring; eutrophication; human; particle size; remote sensing; soil; soil pollutant; urbanization; Carbon; China; Environmental Monitoring; Eutrophication; Geologic Sediments; Humans; Lakes; Nitrogen; Particle Size; Phosphorus; Remote Sensing Technology; Soil; Soil Pollutants; Urbanization","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84928473377
"Jiang P., Cheng L., Li M., Zhao R., Duan Y.","55747060000;55486059500;35115110600;7401975289;56076764200;","Impacts of LUCC on soil properties in the riparian zones of desert oasis with remote sensing data: A case study of the middle Heihe River basin, China",2015,"Science of the Total Environment","506-507",,,"259","271",,43,"10.1016/j.scitotenv.2014.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911377136&doi=10.1016%2fj.scitotenv.2014.11.004&partnerID=40&md5=6db933292260efe93523145e2762a234","Large-scale changes in land use and land cover over long timescales can induce significant variations in soil physicochemical properties, particularly in the riparian zones of arid regions. Frequent reclamation of wetlands and grasslands and intensive agricultural activity have induced significant changes in both land use/cover and soil physicochemical properties in the riparian zones of the middle Heihe River basin of China. The present study aims to explore whether land use/land cover change (LUCC) can well explain the variations in soil properties in the riparian zones of the middle Heihe River basin. To achieve this, we mapped LUCC and quantified the type of land use change using remote sensing images, topographic maps, and GIS analysis techniques. Forty-two sites were selected for soil and vegetation sampling. Then, physical and chemical experiments were employed to determine soil moisture, soil bulk density, soil pH, soil organic carbon, total nitrogen, total potassium, total phosphorous, available nitrogen, available potassium, and available phosphorous. The Independent-Samples Kruskal-Wallis Test, principal component analysis, and a scatter matrix were used to analyze the effects of LUCC on soil properties. The results indicate that the majority of the parameters investigated were affected significantly by LUCC. In particular, soil moisture and soil organic carbon can be explained well by land cover change and land use change, respectively. Furthermore, changes in soil moisture could be attributed primarily to land cover changes. Changes in soil organic carbon were correlated closely with the following land use change types: wetlands-arable, forest-grasslands, and grasslands-desert. Other parameters, including pH and total K, were also found to exhibit significant correlations with LUCC. However, changes in soil nutrients were shown to be induced most probably by human agricultural activity (i.e. fertilize, irrigation, tillage, etc.), rather than by simple conversions from one land use/cover types to the others. © 2014 Elsevier B.V.","Arid inland basin; Heihe river; Land use/land cover change; Soil properties","Forestry; Land reclamation; Land use; Maps; Nitrogen; Organic carbon; Phosphorus; Potassium; Principal component analysis; Remote sensing; Rivers; Soil moisture; Watersheds; Wetlands; Agricultural activities; Arid inland basin; Heihe river; Land use and land cover; Land use/land cover change; Remote sensing images; Soil physico-chemical properties; Soil property; Soil testing; nitrogen; organic carbon; phosphorus; potassium; nitrogen; phosphorus; soil; land cover; land use change; oasis; organic carbon; principal component analysis; remote sensing; riparian zone; satellite data; satellite imagery; soil moisture; soil organic matter; vegetation dynamics; arable land; Article; bulk density; China; correlation analysis; desert; environmental impact assessment; environmental parameters; forest; geographic information system; grassland; irrigation (agriculture); Kruskal Wallis test; land use; land use land cover change; physical chemistry; principal component analysis; quantitative analysis; remote sensing; riparian ecosystem; river basin; soil acidity; soil analysis; soil fertilization; soil moisture; soil property; tillage; topography; vegetation; wetland; agriculture; chemistry; desert climate; ecosystem; environment; environmental monitoring; environmental protection; procedures; remote sensing; river; soil; trends; urbanization; China; Gansu; Heihe Basin; Agriculture; China; Conservation of Natural Resources; Desert Climate; Ecosystem; Environment; Environmental Monitoring; Nitrogen; Phosphorus; Remote Sensing Technology; Rivers; Soil; Urbanization","English",Article,"Final","",Scopus,2-s2.0-84911377136
"Tsunoda S., Takeuchi W.","56567598000;55348898500;","2.5-Dimensional analysis on peatland subsidence and its relation to groundwater table in Jambi, Indonesia",2015,"ACRS 2015 - 36th Asian Conference on Remote Sensing: Fostering Resilient Growth in Asia, Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964001393&partnerID=40&md5=4b477266aebdb06e4ce456f92f16805f","Peatland, an area where peat can be found, plays an important part in the environment due to its unique ecosystem and function of storing large amount of carbon. In recent years, human activities such as drainage for agriculture have devastated tropical peatland, which causes severe emission of greenhouse gases and lowering of the land surface (subsidence). Necessity to observe subsidence behaviors over time in a large scale is increasing since subsidence data is one of the important parameters for assessments of carbon losses from drained peatland. Although many efforts to calculate the subsidence on tropical peatland by remote sensing system have been done, few studies on InSAR time-series analyses have been reported. In this research, long-term subsidence in Jambi, Indonesia was analyzed by means of PS-InSAR technique with the aim to estimate the greenhouse gases from peatland. Firstly, PALSAR data in ascending and descending orbit was processed respectively to map the subsidence distribution. Secondly, these results derived from different orbit were merged together to obtain the vertical component of subsidence (2.5-D surface deformation method). Finally, the subsidence was related to the groundwater table to investigate their relationships. It is expected that the adoption of both ascending and descending data enhances the reliability of the estimation, which gives us better understanding of subsidence phenomenon and peatland condition.","Carbon emission; PALSAR; Peatland; PS-InSAR","Greenhouse gases; Groundwater; Remote sensing; Time series analysis; Wetlands; Carbon emissions; Dimensional analysis; Ground water table; PALSAR; Peatland; PS-InSAR; Remote sensing system; Vertical component; Subsidence","English",Conference Paper,"Final","",Scopus,2-s2.0-84964001393
"Zoran M.A., Dida A.I.","7004388626;25924886600;","An assessment of the impact of climate change effects on forest land cover based on satellite data",2015,"Proceedings of SPIE - The International Society for Optical Engineering","9637",,"96372P","","",,,"10.1117/12.2194291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961801099&doi=10.1117%2f12.2194291&partnerID=40&md5=ea42eb2e36347d8f0c6b53bc433f2bae","Climate change affects forest both directly and indirectly through disturbances, that are a natural and integral part of forest ecosystems, and climate change can alter these natural interactions. Forest vegetation characteristics, including land cover and phenology, affect processes such as water cycle, absorption and re-emission of solar radiation, momentum transfer, carbon cycle, and latent and sensible heat fluxes. The climate system responds in complex ways to changes in forcing that may be natural or human-induced. Drastic climate change over the last decades has greatly increased the importance of forest land cover changes monitoring through time-series satellite data. Satellite based derived biophysical parameters for assessment of climate impacts on forest vegetation have to meet particularly high quality requirements. Forest vegetation and climate interact through a series of complex feedbacks, which are not very well understood. Satellite remote sensing is suited tool to assess the main phenological events based on tracking significant changes on temporal trajectories of Normalized Difference Vegetation Index (NDVI), Land Surface Temperature (LST) and GPP (Gross Primary Production), which are key biophysical variables for studying land surface processes and surface-Atmosphere interactions for forested areas. The aim of this paper was to investigate their pattern dynamics due to the impact of climate variations on a periurban forest Branesti-Cernica, placed to the North-Eastern part of Bucharest city, Romania. The forest vegetation analysis was based on derived biogeophysical parameters from time-series satellite remote sensing MODIS Terra/Aqua and NOAA AVHRR data and in-situ monitoring ground data (as air temperature, aerosols distribution, relative humidity, etc.) over 2002-2014 period. © 2015 SPIE.","biogeophysical parameters; forest land cover; impact of climate changes; Romania; Satellite imagery","Agriculture; Atmospheric temperature; Biology; Carbon; Ecology; Ecosystems; Forestry; Hydrology; Monitoring; Remote sensing; Satellite imagery; Satellites; Surface measurement; Time series; Time series analysis; Tracking (position); Vegetation; Water absorption; biogeophysical parameters; Forest land; Forest-land cover change; Gross primary production; Normalized difference vegetation index; Romania; Satellite remote sensing; Surface atmosphere interaction; Climate change","English",Conference Paper,"Final","",Scopus,2-s2.0-84961801099
"Lenerts A., Popluga D.","56006003100;56025006600;","Facilitate calculations of GHG emissions in Latvian agriculture at farm level",2015,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","3","5",,"287","294",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946559942&partnerID=40&md5=28d16721c9cabcceb2168fd405a25398","Increases in bioresources and food production in the world have become objective needs. According to the main goal set in the Latvian Rural Development Programme 2000, thousands of hectares of utilized agricultural area will be fully exploited in production. Exploiting these land resources provides a possibility to increase agricultural output and economic efficiency in Latvia’s rural areas. Agricultural growths in Latvia in rural areas are in conflict with the principles of sustainable development. In recent years, there is possible to observe emission increase of sown area, consumption of synthetic fertilizers and non-dairy, sheep and poultry numbers. Green house gas (GHG) emissions increased by 16 % in 2012 compared with 2005. In 2012, the sector of agriculture produced 2424.30 Gg CO2 eq. (equivalent), which was 22 % of the total national emissions, and it was the second largest source of GHG emissions in Latvia. To facilitate the adoption of low-carbon farming practices in the Europe Union (EU), the European Commission (EC) developed a carbon calculator that assesses GHG emissions and recommends mitigation actions suitable for each farm. A testing phase was conducted by calculating the carbon footprints of characteristic farms located in five regions of Latvia. It was concluded that the calculator can contribute to substantial reductions in the carbon footprints of Latvia’s agriculture at farm level. © SGEM2015.","Carbon calculator; Greenhouse gas; Sustainable intensification","Agriculture; Carbon footprint; Gas emissions; Mathematical instruments; Regional planning; Remote sensing; Rural areas; Agricultural areas; Agricultural growths; Agricultural output; Economic efficiency; European Commission; Substantial reduction; Sustainable intensification; Synthetic fertilizers; Greenhouse gases","English",Conference Paper,"Final","",Scopus,2-s2.0-84946559942
"Zhang X., Izaurralde R.C., Manowitz D.H., Sahajpal R., West T.O., Thomson A.M., Xu M., Zhao K., LeDuc S.D., Williams J.R.","55715512300;7004672812;23566820600;7801617087;7202352390;7403717763;56042086800;7202071824;18437347800;7409577754;","Regional scale cropland carbon budgets: Evaluating a geospatial agricultural modeling system using inventory data",2015,"Environmental Modelling and Software","63",,,"199","216",,47,"10.1016/j.envsoft.2014.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908663986&doi=10.1016%2fj.envsoft.2014.10.005&partnerID=40&md5=bc7c81884946405b95a4372b02773a69","Accurate quantification and clear understanding of regional scale cropland carbon (C) cycling is critical for designing effective policies and management practices that can contribute toward stabilizing atmospheric CO2 concentrations. However, extrapolating site-scale observations to regional scales represents a major challenge confronting the agricultural modeling community. This study introduces a novel geospatial agricultural modeling system (GAMS) exploring the integration of the mechanistic Environmental Policy Integrated Climate model, spatially-resolved data, surveyed management data, and supercomputing functions for cropland C budgets estimates. This modeling system creates spatially-explicit modeling units at a spatial resolution consistent with remotely-sensed crop identification and assigns cropping systems to each of them by geo-referencing surveyed crop management information at the county or state level. A parallel computing algorithm was also developed to facilitate the computationally intensive model runs and output post-processing and visualization. We evaluated GAMS against National Agricultural Statistics Service (NASS) reported crop yields and inventory estimated county-scale cropland C budgets averaged over 2000-2008. We observed good overall agreement, with spatial correlation of 0.89, 0.90, 0.41, and 0.87, for crop yields, Net Primary Production (NPP), Soil Organic C (SOC) change, and Net Ecosystem Exchange (NEE), respectively. However, we also detected notable differences in the magnitude of NPP and NEE, as well as in the spatial pattern of SOC change. By performing crop-specific annual comparisons, we discuss possible explanations for the discrepancies between GAMS and the inventory method, such as data requirements, representation of agroecosystem processes, completeness and accuracy of crop management data, and accuracy of crop area representation. Based on these analyses, we further discuss strategies to improve GAMS by updating input data and by designing more efficient parallel computing capability to quantitatively assess errors associated with the simulation of C budget components. The modularized design of the GAMS makes it flexible to be updated and adapted for different agricultural models so long as they require similar input data, and to be linked with socio-economic models to understand the effectiveness and implications of diverse C management practices and policies. © 2014 Elsevier Ltd.","Agriculture; Carbon; Climate change; EPIC; Geospatial modeling; Parallel computing","Agriculture; Budget control; Carbon; Carbon dioxide; Climate change; Climate models; Crops; Economics; Ecosystems; Environmental protection; Input output programs; Parallel architectures; Parallel processing systems; Surveys; Accurate quantifications; Environmental policy integrated climate models; EPIC; Geospatial model; National agricultural statistics services; Net primary production; Parallel computing algorithms; Spatially-explicit models; Information management; agricultural land; agricultural land; algorithm; carbon budget; carbon budget; carbon dioxide; climate modeling; concentration (composition); crop yield; crop yield; environmental policy; environmental policy; error analysis; error analysis; estimation method; forest inventory; regional pattern; regional pattern; remote sensing; remote sensing; simulation; statistical analysis","English",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84908663986
"Winowiecki L., Vågen T.-G., Huising J.","15823087000;8263586900;31967547400;","Effects of land cover on ecosystem services in Tanzania: A spatial assessment of soil organic carbon",2014,"Geoderma","263",,,"274","283",,53,"10.1016/j.geoderma.2015.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946472291&doi=10.1016%2fj.geoderma.2015.03.010&partnerID=40&md5=4291dab40d707791707c18ed0901f62e","The multiple ecosystem services provided by healthy soil are well known and include soil carbon sequestration to mitigate climate change, a medium for plant and agricultural production and regulating the hydrologic cycle. Despite the wide recognition of the importance of these services, drivers of soil organic carbon (SOC) dynamics across various land uses in East Africa are poorly understood. The objectives of this study were threefold: to quantify SOC stocks across Tanzania; assess the effect of land cover and erosion on SOC; and investigate the relationship between inherent and dynamic soil properties under diverse land uses. The Land Degradation Surveillance Framework (LDSF) was used to assess the variability of ecological metrics at different spatial scales. SOC was quantified within and between different land cover types (forest, woodland, shrubland, grassland and cropland) in Tanzania. A total of 2052 soil samples from 1082-1000m2 plots were collected from seven 100-km2 sentinel sites in 2010. Composite soil samples were collected at each plot from two depths (0-20 and 20-50cm) and cumulative soil mass samples were collected to 100cm. Soil samples were analyzed using a combination of traditional analytical laboratory methods and mid-infrared spectroscopy (MIR). Model performance of MIR spectral predictions for carbon was good, with an R2 of &gt;0.95 and RMSEP of 4.3gkg-1, when using an independent validation datasets. Woodland and cropland were the most frequently occurring vegetation structure types in the sampled sites, with 388 and 246 plots, respectively. Average topsoil OC (and range) was 12.4 (1.5-81.4) gCkg-1 (n=1082) and average subsoil OC (and range) was 7.3 (0.64-53.8) gCkg-1 (n=970) for the seven sites. Forested plots had the highest mean topsoil organic carbon concentrations (17.3gCkg-1) followed by cropland (13.3gCkg-1), for all sites included in the study, but with high levels of variability between sites. Soil mass at 30cm was measured and these data were used to calculate carbon stocks for the different land cover types. An approach based on remote sensing was explored for the mapping of SOC stocks at 30cm for Tanzania using Moderate Resolution Imaging Spectroradiometer (MODIS) imagery from 2012. Results indicate that the use of image reflectance for the mapping of SOC stocks has promising potential, with R2 values ranging from 0.77 to 0.81 and RMSEP values from 0.90 to 1.03kgm-2 for the three validation datasets. There is high utility of these maps for strategic land management interventions that prioritize ecosystem services. © 2015.","Erosion prevalence; Remote sensing; SOC stocks; Spatial scales; Spectroscopy","Agriculture; Carbon; Climate change; Ecology; Ecosystems; Erosion; Forestry; Image reconstruction; Infrared spectroscopy; Laboratories; Land use; Mapping; Organic carbon; Radiometers; Remote sensing; Satellite imagery; Soil surveys; Spectroscopy; Agricultural productions; Analytical laboratories; Dynamic soil properties; Mid-infrared spectroscopy; Moderate resolution imaging spectroradiometer; SOC stocks; Soil carbon sequestration; Spatial scale; Soils; climate change; concentration (composition); ecosystem service; hydrological cycle; land cover; land degradation; land use; MODIS; organic carbon; remote sensing; soil organic matter; spatial analysis; subsoil; topsoil; vegetation structure; East Africa; Tanzania","English",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-84946472291
"Li P., Feng Z., Jiang L., Liao C., Zhang J.","55872049000;7403442866;14031384700;55871503800;56084235500;","A review of swidden agriculture in Southeast Asia",2014,"Remote Sensing","6","2",,"1654","1683",,70,"10.3390/rs6021654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896847469&doi=10.3390%2frs6021654&partnerID=40&md5=ca2ef65e215431e3b40e01537ca4f22d","Swidden agriculture is by far the dominant land use system in the mountainous regions of Southeast Asia (SEA). It provides various valuable subsistence products to local farmers, mostly the poor ethnic minority groups. Controversially, it is also closely connected with a number of environmental issues. With the strengthening regional economic cooperation in SEA, swidden agriculture has experienced drastic transformations into other diverse market-oriented land use types since the 1990s. However, there is very limited information on the basic geographical and demographic data of swidden agriculture and the socio-economic and biophysical effects of the transformations. International programs, such as the Reducing Emissions from Deforestation and forest Degradation (REDD), underscore the importance of monitoring and evaluating swidden agriculture and its transition to reduce carbon emission due to deforestation and forest degradation. In this context, along with the accessibility of Landsat historical imagery, remote sensing based techniques will offer an effective way to detect and monitor the locations and extent of swidden agriculture. Many approaches for investigating fire occurrence and burned area can be introduced for swidden agriculture mapping due to the common feature of fire relatedness. In this review paper, four broad approaches involving spectral signatures, phenological characteristics, statistical theory and landscape ecology were summarized for swidden agriculture delineation. Five research priorities about swidden agriculture involving remote sensing techniques, spatial pattern, change, drivers and impacts were proposed accordingly. To our knowledge, a synthesis review on the remote sensing and outlook on swidden agriculture has not been reported yet. This review paper aims to give a comprehensive overview of swidden agriculture studies in the domains of debated definition, trends, remote sensing methods and outlook research in SEA undertaken in the past two decades.©2014 by the authors; licensee MDPI, Basel, Switzerland.","Drivers; Fire-related; Impacts; REDD; Remote sensing; Review; Southeast Asia (SEA); Swidden agriculture","Environmental issues; Fire-related; Impacts; International program; REDD; Reducing emissions from deforestation and forest degradation (REDD); Remote sensing techniques; Southeast Asia; Deforestation; Economics; Land use; Regional planning; Remote sensing; Reviews; Truck drivers; Agriculture; Agriculture; Deforestation; Economics; Land Use; Remote Sensing","English",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-84896847469
"Kumar M., Singh R.P., Panigrahy S., Raghubanshi A.S.","57202524852;57207895917;6701587988;6602106261;","Carbon density and accumulation in agroecosystem of Indo-Gangetic Plains and Vindhyan highlands, India",2014,"Environmental Monitoring and Assessment","186","8",,"4971","4985",,3,"10.1007/s10661-014-3752-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904016506&doi=10.1007%2fs10661-014-3752-3&partnerID=40&md5=d0594a993d1f8a3b945799abea808efe","In agroecosystems, the annual carbon (C) inputs to soil are one of the most promising greenhouse gas mitigation options. Net primary productivity (NPP) provides the inputs of C in ecosystems that can potentially be sequestered in soil organic matter. In this study, we estimates the C density and accumulation rate in rice-wheat agroecosystem at four sites of Indo-Gangetic Plains and Vindhyan highlands through amalgamation of ground truth (GT) and remote sensing (RS) approach. In addition to this, we validated field-measured aboveground net production (ANP) with remotely sensed SPOT-Vegetation data. ANP of the sites ranged from 6.8 to 11.1 and 3.3 to 8.8 t-C ha-1 year-1 for GT and RS, respectively. Both estimates (GT and RS) were linearly and significantly related with each other (y = 1.33x - 5.82, R 2 = 0.93, P = 0.04; where x = GT ANP and y = RS ANP). For the whole region, total NPP (rice + wheat) was ranged from 7.9 to 12.5 t-C ha-1 year -1. The C accumulation potential of the present agroecosystems was 9.1 and 1.9 t-C ha-1 year-1 in the form of ANP and belowground NPP (BNP), respectively. The aboveground C stock of agroecosystem allocated in foliage (7.8 %), stem (57.6 %), and grain (35.1 %). Survey about the fate of post-harvested materials indicated that aboveground portion of the crop is almost used completely within the year for different purposes including human consumption and cattle feeding. Therefore, only BNP and litter contribute to long-term C sequestration. Since agroecosystem has enormous potential to sequester C, better management of aboveground portion NPP of the crop may enhance C sequestration potential of agroecosystem. © 2014 Springer International Publishing.","Agroecosystem; IGP; NPP; Root C density; SPOT-Vegetation; Vindhyan highlands","Carbon; Crops; Greenhouse gases; Metals; Remote sensing; Vegetation; Agro ecosystems; IGP; NPP; SPOT-Vegetation; Vindhyan highlands; Ecosystems; carbon; aboveground production; agricultural ecosystem; carbon sequestration; greenhouse gas; ground-based measurement; net primary production; remote sensing; rice; soil carbon; soil organic matter; SPOT; upland region; vegetation cover; wheat; agroecosystem; article; bioaccumulation; carbon allocation; carbon sequestration; carbon sink; carbon storage; ecological procedures; foliage; grain; grain yield; ground truth estimation; India; net primary production; nonhuman; plant litter; plant stem; remote sensing; rice; soil property; wheat; Gangetic Plain; India; Vindhyan Plateau; Bos; Triticum aestivum; Agriculture; Animals; Carbon; Carbon Sequestration; Ecosystem; Environmental Monitoring; India; Oryza sativa; Plant Stems; Soil; Triticum","English",Article,"Final","",Scopus,2-s2.0-84904016506
"Ryan C.M., Berry N.J., Joshi N.","23100820000;24479775800;55880370600;","Quantifying the causes of deforestation and degradation and creating transparent REDD+ baselines: A method and case study from central Mozambique",2014,"Applied Geography","53",,,"45","54",,45,"10.1016/j.apgeog.2014.05.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902983237&doi=10.1016%2fj.apgeog.2014.05.014&partnerID=40&md5=476ad9cbb45ff03b2f0afb8e5b42f228","Reductions in deforestation and forest degradation are advocated as a means to mitigate climate change. The formulation and implementation of policies to achieve such reductions requires an understanding of current and historic land-use change and associated greenhouse gas emissions. In addition, it is often proposed that any reduction in emissions be measured against a reference scenario that describes future land-use in the absence of intervention. However, the information needed to progress this agenda is rarely available, as robust data on the extent and causes of land-use change, and the associated changes in carbon stocks, are sparse, particularly in African woodlands. Here we present a novel method for obtaining such information by combining data from radar remote sensing and ground surveys with a simple aspatial model. Using this approach we quantify changes in woody biomass and investigate the land-use activities that caused these changes in a 7500km2 area of Manica province, Mozambique. We use the data to construct a model linking the activities causing biomass loss to hypothesised drivers, allowing the definition of future scenarios. Within the study area, biomass was lost at a rate of 2.8±1.9% per year, with stocks changing from 19.4±0.9TgC in 2007 to 17.6±0.9TgC in 2010. Small-scale agriculture was the direct cause of 46±17% of the total biomass loss, followed in magnitude by construction and miscellaneous activities (24±11%), charcoal production (18±9%), logging (9±5%) and commercial agriculture (3±2%). Uncertainties remain on the biomass accumulated by regrowing vegetation. Extrapolating into the future, a scenario that includes projected population growth shows 41% of biomass being lost from 2010 to 2020 (a loss of 7.2TgC). A scenario of intensive policy interventions gives reduced losses of 3.8TgC by factoring in improvements in crop yields, charcoal production efficiency, and sustainable timber harvesting. Our case study demonstrates the importance of low intensity losses of biomass in African woodlands, and highlights the broad range of activities that will need to be addressed to develop locally appropriate mitigation actions. The simple modelling framework allows for the transparent creation of scenarios in data sparse areas, which could be used as local or national reference emissions levels under REDD+. © 2014 Elsevier Ltd.","Charcoal; Deforestation; Degradation; Logging; Radar; Reference levels","biomass; charcoal; deforestation; emission control; logging (timber); population growth; radar; remote sensing; timber harvesting; Manica; Mozambique","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84902983237
"Page K.L., Dalal R.C., Pringle M.J., Bell M., Dang Y.P., Radford B., Bailey K.","7102901754;7005634147;8257734500;57208289230;7005099259;55973768800;57215591064;","Organic carbon stocks in cropping soils of Queensland, Australia, as affected by tillage management, climate, and soil characteristics",2013,"Soil Research","51","7-8",,"596","607",,47,"10.1071/SR12225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876425862&doi=10.1071%2fSR12225&partnerID=40&md5=8b66bc22fc2683331ed8863656172dba","Research both nationally and internationally has indicated that no-till (NT) management used in combination with stubble retention has the potential to increase soil organic carbon (SOC) stocks in cropping soils relative to conventional tillage (CT). However, rates of SOC increase can vary depending on cropping system, climate, and soil type, making the quantification of carbon change difficult on a regional level. Various long-term trials and commercial sites throughout Queensland were used to compare rates of SOC change under CT and NT management in cropping soils, and to determine how climate and soil type interact to influence rates of change. It was observed that NT management was not capable of increasing SOC stocks under the crop-fallow rotation systems practised throughout Queensland, and was unlikely even to hold SOC stocks steady under current management practices. However, SOC losses under NT systems did appear to be slower than under CT, indicating that NT may slow SOC loss following a period of organic carbon input, for example, from a pasture ley. On a regional scale, biomass production (estimated through remote sensing), climate (specifically the vapour pressure deficit), and soil sand content could be used to adequately predict SOC stocks on commercial sites, indicating the importance of considering these factors when assessing SOC stocks following management change across the region. © CSIRO 2013.","Climate; No-till; Organic carbon stocks; Sand content; Stubble retention; Vapour pressure deficit","Climate; No-till; Sand content; Stubble retentions; Vapour pressure deficits; Agriculture; Soil surveys; Soils; Vapors; Climate change; agricultural management; carbon sequestration; cropping practice; management practice; organic carbon; pasture; soil organic matter; soil type; tillage; vapor pressure; Australia; Queensland","English",Article,"Final","",Scopus,2-s2.0-84876425862
"Kokkinidis I., Hodges S.C.","36499553400;7102020457;","Calculating ecosystem services provided by agricultural land using GIS and remote sensing methods",2013,"2013 2nd International Conference on Agro-Geoinformatics: Information for Sustainable Agriculture, Agro-Geoinformatics 2013",,,"6621901","164","169",,,"10.1109/Argo-Geoinformatics.2013.6621901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888860855&doi=10.1109%2fArgo-Geoinformatics.2013.6621901&partnerID=40&md5=d43582b74a57ea0a0973297e75500ab4","For this study we use Geographical Information System and Remote Sensing methods to calculate some Ecosystem Services provided by agricultural land and make the case for its value and preservation. Our study area consists of Albemarle, Charles City, Chesterfield and Henrico counties in eastern Virginia. Each is facing different development pressures affecting their ability to provide ecosystem services. We link SSURGO soil mapping units with the VALUES agricultural productivity estimates to estimate realistic yield for 15 crops in actual agricultural land, as extracted from multiple years of the National Land Cover Database and the NASS Cropland Data Layer. We identify which farm plots are better suited for biofuel production without compromising local ability to produce sufficient food for the local population. Knowing farm productivity we can also calculate the Net Primary Productivity of agricultural land and compare it with other local land covers. Then we model the effects of agriculture on soil air carbon flows and carbon sequestration. Incorporating fertilizer recommendations and pesticide use models we calculate their quantities utilized and efficiency ratios. Finally we calculate economic outcome, impact and identify areas prone to change to and from agricultural production in the study area using the cost models given by Virginia Cooperative Extension publications. Our methodologies are based on readily available data and open information and can be used in other areas by different researchers. Our estimates can be improved through the use of better models.","Agriculture; Carbon fixation; Ecosystem Services; Farm economic output; Net Primary Production; Virginia","Carbon fixation; Economic output; Ecosystem services; Net primary production; Virginia; Agriculture; Ecosystems; Estimation; Productivity; Remote sensing; Geographic information systems","English",Conference Paper,"Final","",Scopus,2-s2.0-84888860855
